Cost of MST is 48.0 and below are the list of branches

  Branch              Cost


 00 --- 01              1.0

 00 --- 11              1.0

 01 --- 02              1.0

 01 --- 12              1.0

 11 --- 22              1.0

 02 --- 13              1.0

 00 --- 10              1.0

 13 --- 04              1.0

 12 --- 23              1.0

 13 --- 24              1.0

 22 --- 33              1.0

 24 --- 25              1.0

 33 --- 44              1.0

 04 --- 15              1.0

 23 --- 34              1.0

 25 --- 16              1.0

 24 --- 35              1.0

 15 --- 06              1.0

 33 --- 43              1.0

 33 --- 42              1.0

 44 --- 54              1.0

 25 --- 36              1.0

 54 --- 64              1.0

 35 --- 46              1.0

 42 --- 41              1.0

 54 --- 65              1.0

 22 --- 32              1.0

 13 --- 14              1.0

 54 --- 63              1.0

 46 --- 56              1.0

 44 --- 53              1.0

 43 --- 52              1.0

 41 --- 50              1.0

 41 --- 30              1.0

 11 --- 21              1.0

 63 --- 62              1.0

 65 --- 66              1.0

 41 --- 40              1.0

 22 --- 31              1.0

 25 --- 26              1.0

 42 --- 51              1.0

 50 --- 60              1.0

 02 --- 03              1.0

 52 --- 61              1.0

 04 --- 05              1.0

 44 --- 45              1.0

 11 --- 20              1.0

 44 --- 55              1.0
