Cost of MST is 249.0 and below are the list of branches

  Branch              Cost
 815 --- 916              1.0

 817 --- 818              1.0

 16 --- 07              1.0

 110 --- 101              1.0

 125 --- 126              1.0

 1117 --- 1118              1.0

 110 --- 100              1.0

 518 --- 619              1.0
