Cost of MST is 299.0 and below are the list of branches

  Branch              Cost
 83 --- 84              1.0

 97 --- 86              1.0

 97 --- 87              1.0

 112 --- 011              1.0

 84 --- 85              1.0

 88 --- 89              1.0

 214 --- 115              1.0

 100 --- 90              1.0

 100 --- 91              1.0

 49 --- 410              1.0

 101 --- 92              1.0

 103 --- 94              1.0

 84 --- 95              1.0

 511 --- 412              1.0

 107 --- 96              1.0

 107 --- 98              1.0

 88 --- 99              1.0

 89 --- 910              1.0

 50 --- 61              1.0

 134 --- 135              1.0

 123 --- 132              1.0

 103 --- 104              1.0

 114 --- 015              1.0

 114 --- 105              1.0

 614 --- 715              1.0

 117 --- 118              1.0

 216 --- 317              1.0

 118 --- 019              1.0

 610 --- 711              1.0

 214 --- 315              1.0

 213 --- 314              1.0

 216 --- 117              1.0

 68 --- 77              1.0

 115 --- 116              1.0

 212 --- 313              1.0

 123 --- 133              1.0

 115 --- 106              1.0

 118 --- 119              1.0

 214 --- 215              1.0

 117 --- 108              1.0

 98 --- 109              1.0

 99 --- 1010              1.0

 513 --- 514              1.0

 614 --- 515              1.0

 117 --- 218              1.0

 116 --- 127              1.0

 121 --- 120              1.0

 127 --- 138              1.0

 127 --- 137              1.0

 122 --- 131              1.0

 117 --- 018              1.0

 115 --- 016              1.0

 56 --- 67              1.0

 134 --- 145              1.0

 54 --- 65              1.0

 210 --- 111              1.0

 54 --- 63              1.0

 614 --- 615              1.0

 118 --- 129              1.0

 72 --- 73              1.0

 715 --- 616              1.0

 83 --- 74              1.0

 616 --- 517              1.0

 415 --- 516              1.0

 08 --- 09              1.0

 84 --- 75              1.0

 211 --- 312              1.0

 86 --- 76              1.0

 68 --- 78              1.0

 68 --- 79              1.0

 69 --- 710              1.0

 611 --- 712              1.0

 138 --- 149              1.0

 612 --- 713              1.0

 216 --- 316              1.0

 613 --- 714              1.0

 715 --- 716              1.0

 217 --- 318              1.0

 218 --- 319              1.0

 715 --- 815              1.0

 89 --- 810              1.0

 138 --- 148              1.0

 317 --- 417              1.0

 415 --- 416              1.0

 910 --- 911              1.0

 815 --- 914              1.0

 119 --- 1210              1.0

 135 --- 146              1.0

 815 --- 915              1.0

 910 --- 1011              1.0

 138 --- 147              1.0

 1210 --- 1211              1.0

 715 --- 814              1.0

 712 --- 813              1.0

 616 --- 617              1.0

 914 --- 1014              1.0

 914 --- 1013              1.0

 517 --- 618              1.0

 1211 --- 1212              1.0

 149 --- 1410              1.0

 1014 --- 1115              1.0

 618 --- 519              1.0

 618 --- 719              1.0

 1212 --- 1213              1.0

 915 --- 1016              1.0

 1115 --- 1214              1.0

 1014 --- 1114              1.0

 1213 --- 1314              1.0

 1016 --- 1017              1.0

 1016 --- 917              1.0

 1115 --- 1216              1.0

 1214 --- 1315              1.0

 1016 --- 1117              1.0

 138 --- 139              1.0

 130 --- 141              1.0

 1216 --- 1317              1.0

 55 --- 66              1.0

 54 --- 64              1.0

 29 --- 110              1.0

 914 --- 1015              1.0

 517 --- 518              1.0

 1011 --- 1112              1.0

 1115 --- 1215              1.0

 1014 --- 1113              1.0

 618 --- 619              1.0

 1010 --- 1111              1.0

 134 --- 143              1.0

 1210 --- 1311              1.0

 617 --- 718              1.0

 1115 --- 1116              1.0

 318 --- 419              1.0

 914 --- 913              1.0

 1211 --- 1312              1.0

 1212 --- 1313              1.0

 719 --- 818              1.0

 715 --- 816              1.0

 711 --- 812              1.0

 818 --- 919              1.0

 1317 --- 1418              1.0

 719 --- 819              1.0

 1017 --- 918              1.0

 1017 --- 1118              1.0

 1017 --- 1018              1.0

 919 --- 1019              1.0

 1317 --- 1417              1.0

 1317 --- 1318              1.0

 1118 --- 1219              1.0

 1418 --- 1419              1.0

 22 --- 33              1.0

 51 --- 62              1.0

 118 --- 219              1.0

 119 --- 1110              1.0

 815 --- 916              1.0

 115 --- 126              1.0

 616 --- 717              1.0

 317 --- 418              1.0

 716 --- 817              1.0

 132 --- 142              1.0

 1410 --- 1411              1.0

 1418 --- 1319              1.0

 1216 --- 1217              1.0

 1117 --- 1218              1.0

 1118 --- 1119              1.0

 1216 --- 1316              1.0

 16 --- 07              1.0

 118 --- 119              1.0

 911 --- 1012              1.0

 125 --- 136              1.0

 129 --- 1310              1.0

 910 --- 811              1.0

 1315 --- 1416              1.0

 1314 --- 1415              1.0

 117 --- 118              1.0

 911 --- 912              1.0

 1314 --- 1413              1.0

 1314 --- 1414              1.0

 117 --- 128              1.0

 1311 --- 1412              1.0
