Cost of MST is 149.0 and below are the list of branches

  Branch              Cost


 00 --- 01              1.0

 00 --- 10              1.0

 00 --- 11              1.0

 01 --- 02              1.0

 01 --- 12              1.0

 10 --- 20              1.0

 10 --- 21              1.0

 11 --- 22              1.0

 12 --- 23              1.0

 02 --- 13              1.0

 02 --- 03              1.0

 13 --- 04              1.0

 23 --- 34              1.0

 23 --- 14              1.0

 34 --- 35              1.0

 04 --- 15              1.0

 35 --- 36              1.0

 20 --- 30              1.0

 36 --- 37              1.0

 30 --- 40              1.0

 23 --- 24              1.0

 30 --- 41              1.0

 04 --- 05              1.0

 34 --- 44              1.0

 34 --- 45              1.0

 35 --- 46              1.0

 41 --- 42              1.0

 34 --- 43              1.0

 36 --- 47              1.0

 34 --- 25              1.0

 37 --- 48              1.0

 35 --- 26              1.0

 36 --- 27              1.0

 15 --- 16              1.0

 44 --- 54              1.0

 40 --- 50              1.0

 54 --- 65              1.0

 37 --- 28              1.0

 40 --- 51              1.0

 15 --- 06              1.0

 41 --- 52              1.0

 48 --- 59              1.0

 44 --- 53              1.0

 28 --- 29              1.0

 44 --- 55              1.0

 45 --- 56              1.0

 46 --- 57              1.0

 29 --- 210              1.0

 26 --- 17              1.0

 47 --- 58              1.0

 17 --- 08              1.0

 59 --- 68              1.0

 59 --- 69              1.0

 29 --- 310              1.0

 65 --- 74              1.0

 08 --- 09              1.0

 65 --- 75              1.0

 65 --- 76              1.0

 68 --- 78              1.0

 310 --- 411              1.0

 59 --- 410              1.0

 68 --- 79              1.0

 56 --- 67              1.0

 09 --- 010              1.0

 68 --- 77              1.0

 210 --- 311              1.0

 210 --- 111              1.0

 54 --- 63              1.0

 48 --- 49              1.0

 111 --- 112              1.0

 59 --- 610              1.0

 411 --- 312              1.0

 112 --- 113              1.0

 010 --- 011              1.0

 74 --- 73              1.0

 16 --- 07              1.0

 411 --- 412              1.0

 29 --- 110              1.0

 59 --- 510              1.0

 63 --- 72              1.0

 411 --- 511              1.0

 210 --- 211              1.0

 111 --- 012              1.0

 412 --- 513              1.0

 20 --- 31              1.0

 27 --- 18              1.0

 411 --- 512              1.0

 65 --- 66              1.0

 54 --- 64              1.0

 51 --- 62              1.0

 50 --- 61              1.0

 113 --- 014              1.0

 61 --- 70              1.0

 48 --- 39              1.0

 113 --- 114              1.0

 72 --- 71              1.0

 113 --- 214              1.0

 112 --- 213              1.0

 114 --- 215              1.0

 014 --- 015              1.0

 513 --- 614              1.0

 37 --- 38              1.0

 312 --- 413              1.0

 513 --- 414              1.0

 614 --- 515              1.0

 215 --- 316              1.0

 511 --- 612              1.0

 015 --- 016              1.0

 515 --- 616              1.0

 414 --- 415              1.0

 316 --- 217              1.0

 316 --- 417              1.0

 616 --- 617              1.0

 016 --- 017              1.0

 217 --- 318              1.0

 217 --- 218              1.0

 318 --- 319              1.0

 417 --- 518              1.0

 617 --- 618              1.0

 22 --- 33              1.0

 50 --- 60              1.0

 318 --- 219              1.0

 016 --- 117              1.0

 112 --- 013              1.0

 311 --- 212              1.0

 017 --- 018              1.0

 515 --- 416              1.0

 217 --- 118              1.0

 215 --- 116              1.0

 312 --- 313              1.0

 614 --- 615              1.0

 616 --- 517              1.0

 518 --- 619              1.0

 018 --- 019              1.0

 518 --- 519              1.0

 21 --- 32              1.0

 515 --- 516              1.0

 513 --- 613              1.0

 215 --- 216              1.0

 214 --- 315              1.0

 214 --- 314              1.0

 316 --- 317              1.0

 318 --- 419              1.0

 28 --- 19              1.0

 014 --- 115              1.0

 610 --- 611              1.0

 218 --- 119              1.0

 513 --- 514              1.0

 417 --- 418              1.0
