Cost of MST is 349.0 and below are the list of branches

  Branch              Cost
 112 --- 011              1.0

 129 --- 139              1.0

 100 --- 90              1.0

 83 --- 84              1.0

 100 --- 91              1.0

 49 --- 410              1.0

 101 --- 92              1.0

 84 --- 85              1.0

 118 --- 019              1.0

 510 --- 411              1.0

 102 --- 93              1.0

 85 --- 86              1.0

 103 --- 94              1.0

 104 --- 95              1.0

 511 --- 412              1.0

 86 --- 87              1.0

 106 --- 96              1.0

 512 --- 413              1.0

 1111 --- 1011              1.0

 106 --- 97              1.0

 87 --- 88              1.0

 108 --- 98              1.0

 139 --- 149              1.0

 108 --- 99              1.0

 149 --- 1510              1.0

 513 --- 414              1.0

 1011 --- 910              1.0

 1510 --- 1411              1.0

 149 --- 159              1.0

 88 --- 89              1.0

 99 --- 810              1.0

 910 --- 811              1.0

 1510 --- 1611              1.0

 159 --- 168              1.0

 1411 --- 1512              1.0

 515 --- 415              1.0

 1510 --- 1511              1.0

 1411 --- 1312              1.0

 168 --- 167              1.0

 1512 --- 1413              1.0

 167 --- 176              1.0

 811 --- 812              1.0

 1512 --- 1513              1.0

 1011 --- 911              1.0

 1411 --- 1412              1.0

 812 --- 813              1.0

 168 --- 179              1.0

 176 --- 165              1.0

 1510 --- 1610              1.0

 176 --- 175              1.0

 1512 --- 1613              1.0

 1611 --- 1612              1.0

 168 --- 177              1.0

 165 --- 155              1.0

 813 --- 814              1.0

 813 --- 914              1.0

 165 --- 174              1.0

 1510 --- 169              1.0

 1413 --- 1514              1.0

 814 --- 915              1.0

 914 --- 1015              1.0

 168 --- 178              1.0

 1514 --- 1515              1.0

 174 --- 163              1.0

 814 --- 815              1.0

 174 --- 173              1.0

 110 --- 120              1.0

 126 --- 135              1.0

 163 --- 162              1.0

 167 --- 166              1.0

 120 --- 131              1.0

 125 --- 134              1.0

 127 --- 136              1.0

 108 --- 119              1.0

 614 --- 715              1.0

 149 --- 158              1.0

 167 --- 156              1.0

 165 --- 154              1.0

 610 --- 711              1.0

 214 --- 315              1.0

 213 --- 314              1.0

 106 --- 117              1.0

 68 --- 77              1.0

 115 --- 116              1.0

 212 --- 313              1.0

 139 --- 148              1.0

 1513 --- 1614              1.0

 162 --- 151              1.0

 131 --- 142              1.0

 1514 --- 1615              1.0

 129 --- 138              1.0

 120 --- 130              1.0

 1413 --- 1414              1.0

 1515 --- 1616              1.0

 151 --- 150              1.0

 131 --- 132              1.0

 614 --- 615              1.0

 515 --- 616              1.0

 1210 --- 1211              1.0

 131 --- 140              1.0

 72 --- 73              1.0

 83 --- 74              1.0

 56 --- 67              1.0

 1111 --- 1212              1.0

 54 --- 65              1.0

 210 --- 111              1.0

 54 --- 63              1.0

 29 --- 110              1.0

 112 --- 123              1.0

 124 --- 133              1.0

 08 --- 09              1.0

 162 --- 171              1.0

 616 --- 517              1.0

 515 --- 516              1.0

 129 --- 1110              1.0

 513 --- 514              1.0

 1210 --- 1311              1.0

 1413 --- 1314              1.0

 155 --- 146              1.0

 163 --- 153              1.0

 84 --- 75              1.0

 915 --- 1016              1.0

 914 --- 1014              1.0

 914 --- 1013              1.0

 1111 --- 1010              1.0

 136 --- 147              1.0

 117 --- 018              1.0

 104 --- 105              1.0

 171 --- 170              1.0

 139 --- 1410              1.0

 211 --- 312              1.0

 915 --- 916              1.0

 1314 --- 1214              1.0

 1616 --- 1517              1.0

 616 --- 717              1.0

 85 --- 76              1.0

 68 --- 78              1.0

 68 --- 79              1.0

 1414 --- 1315              1.0

 1015 --- 1114              1.0

 717 --- 818              1.0

 916 --- 817              1.0

 69 --- 710              1.0

 611 --- 712              1.0

 162 --- 161              1.0

 1517 --- 1418              1.0

 1015 --- 1115              1.0

 1418 --- 1419              1.0

 612 --- 713              1.0

 151 --- 160              1.0

 218 --- 319              1.0

 1418 --- 1319              1.0

 1418 --- 1318              1.0

 1418 --- 1519              1.0

 1517 --- 1518              1.0

 215 --- 316              1.0

 1319 --- 1218              1.0

 1319 --- 1219              1.0

 818 --- 919              1.0

 1218 --- 1119              1.0

 517 --- 618              1.0

 1312 --- 1213              1.0

 618 --- 619              1.0

 919 --- 1018              1.0

 1519 --- 1619              1.0

 618 --- 519              1.0

 55 --- 66              1.0

 54 --- 64              1.0

 51 --- 62              1.0

 112 --- 122              1.0

 517 --- 518              1.0

 1111 --- 1112              1.0

 216 --- 217              1.0

 129 --- 1310              1.0

 155 --- 145              1.0

 168 --- 157              1.0

 1111 --- 1012              1.0

 117 --- 118              1.0

 106 --- 107              1.0

 216 --- 317              1.0

 517 --- 418              1.0

 517 --- 417              1.0

 1515 --- 1416              1.0

 818 --- 819              1.0

 1312 --- 1313              1.0

 915 --- 816              1.0

 1616 --- 1617              1.0

 1517 --- 1417              1.0

 1015 --- 1116              1.0

 1016 --- 1117              1.0

 218 --- 318              1.0

 919 --- 1019              1.0

 818 --- 918              1.0

 1218 --- 1118              1.0

 1318 --- 1217              1.0

 616 --- 617              1.0

 717 --- 718              1.0

 1315 --- 1216              1.0

 22 --- 33              1.0

 16 --- 07              1.0

 118 --- 219              1.0

 108 --- 119              1.0

 134 --- 143              1.0

 108 --- 109              1.0

 155 --- 144              1.0

 163 --- 152              1.0

 1016 --- 1017              1.0

 1212 --- 1113              1.0

 1515 --- 1516              1.0

 1514 --- 1415              1.0

 815 --- 716              1.0

 818 --- 719              1.0

 1517 --- 1618              1.0

 1314 --- 1215              1.0

 112 --- 121              1.0

 128 --- 137              1.0

 131 --- 141              1.0

 515 --- 416              1.0

 163 --- 172              1.0

 165 --- 164              1.0

 1418 --- 1317              1.0

 1315 --- 1316              1.0

 115 --- 015              1.0

 812 --- 913              1.0

 1016 --- 917              1.0

 319 --- 419              1.0

 1011 --- 912              1.0

 613 --- 714              1.0
