Cost of MST is 399.0 and below are the list of branches

  Branch              Cost
 104 --- 115              1.0

 417 --- 518              1.0

 1115 --- 1016              1.0

 418 --- 519              1.0

 1115 --- 1116              1.0

 1016 --- 1017              1.0

 21 --- 32              1.0

 50 --- 60              1.0

 1017 --- 1018              1.0

 60 --- 70              1.0

 48 --- 39              1.0

 510 --- 611              1.0

 112 --- 113              1.0

 115 --- 016              1.0

 1115 --- 1216              1.0

 1116 --- 1217              1.0

 511 --- 612              1.0

 512 --- 613              1.0

 513 --- 614              1.0

 514 --- 615              1.0

 60 --- 71              1.0

 103 --- 114              1.0

 1217 --- 1218              1.0

 116 --- 017              1.0

 515 --- 616              1.0

 1114 --- 1215              1.0

 1113 --- 1214              1.0

 1112 --- 1213              1.0

 516 --- 617              1.0

 1110 --- 1211              1.0

 119 --- 1210              1.0

 118 --- 129              1.0

 118 --- 128              1.0

 116 --- 127              1.0

 115 --- 126              1.0

 114 --- 125              1.0

 113 --- 124              1.0

 112 --- 123              1.0

 1213 --- 1312              1.0

 1216 --- 1315              1.0

 1216 --- 1317              1.0

 1018 --- 1119              1.0

 1017 --- 1118              1.0

 1016 --- 1117              1.0

 517 --- 618              1.0

 1216 --- 1316              1.0

 518 --- 619              1.0

 1312 --- 1412              1.0

 1312 --- 1413              1.0

 1412 --- 1513              1.0

 1210 --- 139              1.0

 1211 --- 1310              1.0

 1211 --- 1311              1.0

 125 --- 134              1.0

 126 --- 135              1.0

 127 --- 136              1.0

 139 --- 149              1.0

 129 --- 138              1.0

 128 --- 137              1.0

 1218 --- 1219              1.0

 124 --- 133              1.0

 37 --- 38              1.0

 49 --- 310              1.0

 1513 --- 1613              1.0

 71 --- 72              1.0

 210 --- 311              1.0

 70 --- 80              1.0

 70 --- 81              1.0

 110 --- 010              1.0

 71 --- 82              1.0

 112 --- 011              1.0

 100 --- 90              1.0

 100 --- 91              1.0

 49 --- 410              1.0

 1513 --- 1614              1.0

 101 --- 92              1.0

 510 --- 411              1.0

 102 --- 93              1.0

 103 --- 94              1.0

 104 --- 95              1.0

 511 --- 412              1.0

 1018 --- 919              1.0

 1017 --- 918              1.0

 1016 --- 917              1.0

 105 --- 96              1.0

 1317 --- 1417              1.0

 1412 --- 1511              1.0

 512 --- 413              1.0

 106 --- 97              1.0

 1010 --- 911              1.0

 416 --- 415              1.0

 107 --- 98              1.0

 917 --- 816              1.0

 918 --- 817              1.0

 1613 --- 1712              1.0

 1613 --- 1714              1.0

 919 --- 818              1.0

 919 --- 819              1.0

 108 --- 99              1.0

 1712 --- 1813              1.0

 513 --- 414              1.0

 109 --- 910              1.0

 50 --- 61              1.0

 1214 --- 1313              1.0

 1315 --- 1416              1.0

 914 --- 815              1.0

 1218 --- 1319              1.0

 1018 --- 1019              1.0

 1511 --- 1611              1.0

 912 --- 811              1.0

 1317 --- 1418              1.0

 1714 --- 1815              1.0

 110 --- 120              1.0

 96 --- 87              1.0

 1513 --- 1612              1.0

 120 --- 131              1.0

 123 --- 132              1.0

 149 --- 1510              1.0

 139 --- 1410              1.0

 120 --- 130              1.0

 1611 --- 1710              1.0

 618 --- 719              1.0

 617 --- 718              1.0

 616 --- 717              1.0

 108 --- 119              1.0

 614 --- 715              1.0

 149 --- 158              1.0

 1418 --- 1519              1.0

 1614 --- 1715              1.0

 610 --- 711              1.0

 214 --- 315              1.0

 213 --- 314              1.0

 106 --- 117              1.0

 68 --- 77              1.0

 105 --- 116              1.0

 212 --- 313              1.0

 139 --- 148              1.0

 1417 --- 1518              1.0

 1815 --- 1916              1.0

 1815 --- 1915              1.0

 131 --- 140              1.0

 1614 --- 1515              1.0

 158 --- 168              1.0

 1710 --- 189              1.0

 1613 --- 1713              1.0

 1712 --- 1711              1.0

 1813 --- 1914              1.0

 1916 --- 1917              1.0

 133 --- 142              1.0

 1917 --- 1818              1.0

 1710 --- 179              1.0

 189 --- 198              1.0

 189 --- 199              1.0

 56 --- 67              1.0

 1111 --- 1212              1.0

 54 --- 65              1.0

 210 --- 111              1.0

 54 --- 63              1.0

 29 --- 110              1.0

 112 --- 122              1.0

 1215 --- 1314              1.0

 134 --- 144              1.0

 134 --- 145              1.0

 136 --- 147              1.0

 1312 --- 1411              1.0

 1715 --- 1616              1.0

 72 --- 73              1.0

 1714 --- 1814              1.0

 1417 --- 1516              1.0

 1813 --- 1912              1.0

 1614 --- 1615              1.0

 1818 --- 1919              1.0

 144 --- 154              1.0

 1818 --- 1717              1.0

 1917 --- 1918              1.0

 198 --- 197              1.0

 1818 --- 1819              1.0

 145 --- 156              1.0

 1912 --- 1911              1.0

 1510 --- 169              1.0

 198 --- 187              1.0

 142 --- 153              1.0

 1016 --- 916              1.0

 914 --- 915              1.0

 154 --- 165              1.0

 1710 --- 1810              1.0

 1815 --- 1716              1.0

 189 --- 1910              1.0

 1916 --- 1817              1.0

 1712 --- 1811              1.0

 1818 --- 1719              1.0

 189 --- 188              1.0

 197 --- 186              1.0

 913 --- 814              1.0

 912 --- 813              1.0

 911 --- 810              1.0

 65 --- 74              1.0

 95 --- 86              1.0

 1511 --- 1610              1.0

 156 --- 166              1.0

 187 --- 176              1.0

 418 --- 319              1.0

 217 --- 318              1.0

 613 --- 714              1.0

 215 --- 316              1.0

 69 --- 710              1.0

 68 --- 79              1.0

 87 --- 76              1.0

 186 --- 185              1.0

 165 --- 175              1.0

 153 --- 162              1.0

 185 --- 184              1.0

 197 --- 196              1.0

 186 --- 195              1.0

 185 --- 194              1.0

 162 --- 161              1.0

 165 --- 174              1.0

 55 --- 66              1.0

 54 --- 64              1.0

 51 --- 62              1.0

 16 --- 07              1.0

 134 --- 143              1.0

 135 --- 146              1.0

 149 --- 159              1.0

 158 --- 167              1.0

 168 --- 177              1.0

 184 --- 193              1.0

 1413 --- 1514              1.0

 154 --- 163              1.0

 184 --- 183              1.0

 162 --- 173              1.0

 140 --- 151              1.0

 144 --- 155              1.0

 1815 --- 1816              1.0

 1818 --- 1718              1.0

 1518 --- 1617              1.0

 1519 --- 1619              1.0

 912 --- 812              1.0

 98 --- 89              1.0

 94 --- 85              1.0

 154 --- 164              1.0

 615 --- 716              1.0

 612 --- 713              1.0

 68 --- 78              1.0

 211 --- 312              1.0

 161 --- 160              1.0

 162 --- 172              1.0

 161 --- 170              1.0

 08 --- 09              1.0

 22 --- 33              1.0

 112 --- 121              1.0

 131 --- 141              1.0

 1412 --- 1512              1.0

 168 --- 178              1.0

 1417 --- 1517              1.0

 162 --- 171              1.0

 142 --- 152              1.0

 1813 --- 1913              1.0

 1712 --- 1812              1.0

 97 --- 88              1.0

 93 --- 84              1.0

 65 --- 75              1.0

 170 --- 180              1.0

 172 --- 181              1.0

 180 --- 191              1.0

 114 --- 015              1.0

 1217 --- 1318              1.0

 914 --- 1015              1.0

 140 --- 150              1.0

 1519 --- 1618              1.0

 72 --- 83              1.0

 611 --- 712              1.0

 180 --- 190              1.0

 1315 --- 1415              1.0

 158 --- 157              1.0

 1319 --- 1419              1.0

 193 --- 192              1.0

 1315 --- 1414              1.0

 193 --- 182              1.0
